text,label
"The wifi router in the library is fixed.","ham"
"Your bus pass renewal is due next week.","ham"
"I am at the back row of the auditorium.","ham"
"Your exam center is the same as last time.","ham"
"The cafeteria menu today includes pasta special.","ham"
"Your thesis draft is with the guide for review.","ham"
"Sisters meeting at grandmother's house on Sunday.","ham"
"The registration for the marathon closes tomorrow.","ham"
"Your hostel key deposit receipt is in the drawer.","ham"
"Tomorrow's lecture is online instead of class.","ham"
"Your results will be published at 5 PM today.","ham"
"The project report format is updated. Check the portal.","ham"
"Your friend is at the coffee shop near the gate.","ham"
"I will bring the cricket kit on Thursday.","ham"
"The notice says the lab is closed on Sundays.","ham"
"Your test score is uploaded on the portal.","ham"
"Bring your sports shoes for the practical.","ham"
"The tiffin service starts from Monday at the hostel.","ham"
"Your monthly subscription for the journal is active.","ham"
"Are you coming to the game night on Friday?","ham"
"The librarian has kept the reserved book for you.","ham"
